scheme_id,scheme_name,department,category,description,beneficiary,benefit_type,eligibility,required_documents,application_mode,application_link,official_website,official_source,status,last_verified
TN-SS-003,Destitute Widow Pension Scheme,Revenue & Disaster Management,Social Security,Monthly pension for destitute widows,Destitute Widows,Monthly ₹1200,Age 18 and above; Destitute,Death Certificate of Husband; Destitute Certificate,Taluk Office/Online,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-004,Deserted Wives Pension Scheme,Revenue & Disaster Management,Social Security,Monthly pension for deserted wives,Deserted Wives,Monthly ₹1200,Age 30 and above; Deserted for minimum 5 years,Desertion Certificate; Age Proof,Taluk Office/Online,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-005,Unmarried Women Pension Scheme,Revenue & Disaster Management,Social Security,Monthly pension for destitute unmarried women,Unmarried Women,Monthly ₹1200,Age 50 and above; Destitute,Age Proof; Unmarried Certificate,Taluk Office/Online,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-006,Chief Minister's Uzhavar Padhukappu Thittam,Revenue & Disaster Management,Social Security,Comprehensive social security for farmers,Farmers & Agricultural Labourers,Financial Assistance (Accident/Education/Marriage),Age 18-65; Agricultural labourers or marginal farmers,Land/Labourer Proof; Aadhaar,Taluk Office,Not Available,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-WEL-001,Post Matric Scholarship for SC/ST,Adi Dravidar & Tribal Welfare,Education,Educational scholarship for higher studies,SC/ST Students,Educational Scholarship,SC/ST students with family income below ₹2.5 Lakhs,Community Certificate; Income Certificate; Marksheets,Online,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,Active,2026-07-30
TN-WEL-003,Free House Site Patta,Revenue & Disaster Management,Housing,Provision of free land patta for poor families,Landless Poor,Free Land Patta,Must not own any land; BPL category,Income Certificate; Resident Proof,Taluk Office,Not Available,https://cra.tn.gov.in/,https://cra.tn.gov.in/land-administration.php,Active,2026-07-30
TN-WEL-007,Free Bicycle Scheme,BC MBC & Minorities Welfare,Education,Free bicycles to improve school attendance,Class 11 Students,Free Bicycle,Students studying in Class 11 in Govt/Aided schools,School Enrollment,Institution Level,Not Applicable,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-WEL-008,Ulema Pension Scheme,BC MBC & Minorities Welfare,Social Security,Pension for retired Ulemas,Ulemas,Monthly ₹3000,Age 60 and above; Served minimum 20 years,Service Certificate; Age Proof,Offline,Not Available,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-LAB-001,Tamil Nadu Construction Workers Welfare Board Assistance,Labour Welfare & Skill Development,Labour Welfare,Social security and assistance for construction workers,Registered Construction Workers,Assistance for Marriage/Education/Accident,Registered under the board for minimum duration,Board ID; Relevant Certificates,Online/Labour Office,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,Active,2026-07-30
TN-LAB-002,Tamil Nadu Unorganized Workers Welfare Board,Labour Welfare & Skill Development,Labour Welfare,Social security and financial assistance,Registered Unorganized Workers,Assistance for Marriage/Education/Accident,Registered under specific unorganized sectors,Board ID; Relevant Certificates,Online/Labour Office,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,Active,2026-07-30
TN-SW-002,Chief Minister's Girl Child Protection Scheme (Scheme I),Social Welfare & Women Empowerment,Girl Child Welfare,Financial deposit for single girl child in families with no male child.,Single Girl Child,Fixed deposit of ₹50000 in child's name,Family with only 1 girl child and no male child; Sterilization undergone by parents; Income < ₹72000/yr,Birth Certificate; Income Certificate; Sterilization Certificate; Family Photograph,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-girl-child-protection-schemes-tamil-nadu,Active,2026-07-30
TN-SW-003,Chief Minister's Girl Child Protection Scheme (Scheme II),Social Welfare & Women Empowerment,Girl Child Welfare,Financial deposit for families having two girl children and no male child.,Two Girl Children,Fixed deposit of ₹25000 for each girl child,Family with 2 girl children and no male child; Sterilization undergone by parents; Income < ₹72000/yr,Birth Certificates of both girls; Income Certificate; Sterilization Certificate,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-girl-child-protection-schemes-tamil-nadu,Active,2026-07-30
TN-SW-006,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,Social Welfare & Women Empowerment,Women Welfare,Financial assistance and gold coin for widow remarriage to rehabilitate widows.,Remarried Widows,Financial assistance (₹25000/₹50000 depending on qualification) + 8g Gold Coin,"Widow remarrying; Minimum age 20 for bride, groom age max 40; No income limit",Death Certificate of first husband; Age proof; Educational qualification certificate; Marriage invitation,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-007,E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows,Social Welfare & Women Empowerment,Marriage Assistance,Financial assistance and gold for marriage of poor widows' daughters.,Daughters of Poor Widows,Financial assistance (₹25000/₹50000) + 8g Gold Coin,Mother must be a poor widow; Annual income < ₹72000; Bride age min 18 years,Widow Certificate of mother; Income Certificate; Age proof; Marriage Invitation; Marksheets,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-008,Annai Theresa Ninaivu Marriage Assistance Scheme for Orphan Girls,Social Welfare & Women Empowerment,Marriage Assistance,Financial grant and gold coin for the marriage of orphan girls.,Orphan Girls,Financial assistance (₹25000/₹50000) + 8g Gold Coin,Bride must be an orphan girl; Age minimum 18 years; No income limit,Orphan Certificate from Revenue Dept; Age proof; Marriage invitation card,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-009,Dr. Muthulakshmi Reddy Ninaivu Inter-Caste Marriage Assistance Scheme,Social Welfare & Women Empowerment,Social Justice,Financial grant to promote inter-caste marriages and abolish caste discrimination.,Inter-caste Couples,Financial assistance (₹25000/₹50000) + 8g Gold Coin,"One spouse must belong to SC/ST community; Minimum bride age 18, groom age 21; No income limit",Community Certificates of both spouses; Marriage Registration Certificate; Joint Photograph,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-ED-004,Naan Mudhalvan Skill Development Scheme,Special Programme Implementation,Skill Development,"Comprehensive skill development, career guidance, and industry training portal for youth.",School & College Students,"Free Industry Training, Certification, and Career Counselling","Students studying in TN High Schools, Colleges, Polytechnics, and Universities",Student Educational ID / Aadhaar,Online/Institution,https://www.naanmudhalvan.tn.gov.in/,https://www.naanmudhalvan.tn.gov.in/,https://www.naanmudhalvan.tn.gov.in/,Active,2026-07-30
TN-ED-005,7.5 Percent Horizontal Reservation in Professional Courses,Higher Education,Education / Social Justice,"Horizontal preferential reservation for government school students in professional admissions (Engineering, Agriculture, Law, Veterinary, MBBS).",Govt School Students,7.5% Reserved Seats & Full Fee/Hostel Subsidy by Govt,Students who studied from Class 6 to 12 continuously in Tamil Nadu Govt schools,School Study Certificate (Class 6-12); EMIS ID; Marksheets,Online/Counselling,https://www.tneaonline.org/,https://www.tndte.gov.in/,https://www.tn.gov.in/scheme/data_view/88167,Active,2026-07-30
TN-ED-006,Free Laptop Scheme for Students,School Education,Education / Technology,Distribution of free laptop computers to students in government and aided schools/colleges.,School and College Students,Free Laptop Computer,Students studying in Class 12 and ITI/Polytechnic/College in Govt & Aided institutions,Student ID Card; School Roll Number,Institution Level,Not Applicable,https://tnschools.gov.in/,https://www.tn.gov.in/scheme/data_view/44584,Active,2026-07-30
TN-ED-007,Free Textbook and Educational Kit Scheme,School Education,Education,"Free supply of textbooks, notebooks, school bags, footwear, and geometry boxes to government school students.",Govt School Students (Class 1-12),"Free Textbooks, Notebooks, School Bags, Footwear, Uniforms",Students enrolled in Tamil Nadu Government and Aided Schools,School Admission Record / EMIS Number,Institution Level,Not Applicable,https://tnschools.gov.in/,https://tnschools.gov.in/,Active,2026-07-30
TN-ED-008,Chief Minister's Talent Search Scheme,School Education,Education / Scholarship,Scholarship grant for top-performing Class 11 students selected through a state-level competitive talent exam.,Class 11 Meritorious Students,Monthly stipend of ₹1000 for 10 months/year until completion of graduation,Class 11 students in TN schools passing the CM Talent Search Exam,School ID; Exam Hall Ticket; Bank Account details,School Level / Online Exam Portal,https://dge.tn.gov.in/,https://dge.tn.gov.in/,https://dge.tn.gov.in/,Active,2026-07-30
TN-HF-005,Kalaignarin Varumun Kappom Thittam,Health & Family Welfare,Preventive Healthcare,"Free medical screening camps conducted at village and ward level with specialist doctors, lab tests, and drug supply.",General Public,"Free Health Checkup, Lab Investigations, Master Health Checkup, Free Specialist Consultations",All residents of Tamil Nadu,Aadhaar Card / Ration Card (Optional),Camp Level,Not Applicable,https://nhm.tn.gov.in/,https://nhm.tn.gov.in/,Active,2026-07-30
TN-HF-006,Kannoli Kappom Thittam (Free Spectacles for Students),Health & Family Welfare,Eye Care,Free eye screening for school students and distribution of free corrective spectacles.,School Students,Free Refraction Testing and Prescription Spectacles,Students in Tamil Nadu Government and Aided Schools diagnosed with refractive errors,School Record ID,School Level,Not Applicable,https://nhm.tn.gov.in/,https://nhm.tn.gov.in/,Active,2026-07-30
TN-HF-007,Chief Minister's Comprehensive Dental Care & Hearing Scheme (Integrated with CMCHIS),Health & Family Welfare,Specialized Healthcare,Cochlear implant surgery and free hearing aids for deaf children under 6 years.,Children with Hearing Impairment (< 6 years),Free Cochlear Implant Surgery (worth ₹6.5 Lakhs) and Auditory Verbal Therapy,Children under 6 years with severe bilateral sensorineural hearing loss from BPL families,Audiology Test Report; Income Certificate; Smart Ration Card; Birth Certificate,Hospital Level / CMCHIS Counter,https://www.cmchistn.com/,https://www.cmchistn.com/,https://www.cmchistn.com/,Active,2026-07-30
TN-SS-002,Differently Abled Pension Scheme (DAPS),Revenue Administration,Social Security Pension,Monthly social security pension for destitute persons with disabilities.,Differently Abled Persons,Monthly ₹1500 pension,Minimum 40% disability certified by medical authority; Age 18 and above; Destitute status,Disability Certificate / UDID; Aadhaar Card; Bank Account details; Smart Ration Card,Online/Taluk Office,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-003,Destitute Widow Pension Scheme (DWPS),Revenue Administration,Social Security Pension,"Monthly pension for poor, destitute widows without family support.",Destitute Widows,Monthly ₹1200 pension,Age 18 years and above; Destitute widow with no regular source of income,Husband's Death Certificate; Destitute Widow Certificate; Aadhaar Card; Smart Ration Card,Online/Taluk Office,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-004,Destitute Deserted Wives Pension Scheme (DDWPS),Revenue Administration,Social Security Pension,Monthly pension for destitute wives deserted by their husbands for over 5 years.,Deserted Wives,Monthly ₹1200 pension,Age 30 years and above; Deserted for more than 5 years; Destitute status,Deserted Wife Certificate issued by VAO/Revenue Inspector; Aadhaar Card; Bank Passbook,Online/Taluk Office,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-005,Destitute Unmarried Women Pension Scheme (DUWPS),Revenue Administration,Social Security Pension,"Monthly financial assistance for poor, unmarried women aged 50 and above.",Destitute Unmarried Women,Monthly ₹1200 pension,Unmarried female aged 50 years and above; Living in poverty with no family income,Unmarried Status Certificate from Revenue Dept; Age Proof; Aadhaar Card; Bank Passbook,Online/Taluk Office,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-006,Chief Minister's Uzhavar Padhukappu Thittam (Farmers Security Scheme),Revenue Administration,Social Security,"Comprehensive insurance and financial relief scheme for farmers and agricultural labourers for education, marriage, and natural death.",Registered Farmers and Agricultural Labourers,"Financial assistance for marriage (₹8000-10000), educational grant, death relief (₹20000 to ₹100000)",Small/marginal farmers and agricultural workers aged 18-65 registered with Uzhavar Card,Uzhavar Padhukappu ID Card; Chitta/Adangal land record; Aadhaar Card; Bank Details,Taluk Office,Not Available,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-007,Free House Site Patta Scheme,Revenue Administration,Housing & Land Rights,Assignment of free house site pattas to houseless poor families in urban and rural areas.,Landless and Houseless Poor Families,Free Assignment of House Site Land Patta,Annual family income < ₹72000; Must not own any house or house site anywhere in TN,Income Certificate; Ration Card; Certificate of No Property; Aadhaar Card,Online/Taluk Office,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/land-administration.php,Active,2026-07-30
TN-DA-001,Free Motorized Tricycles / Retrofitted Scooters for Differently Abled,Welfare of Differently Abled Persons,Mobility & Rehabilitation,Supply of retrofitted motor scooters / motorized tricycles for mobility-impaired persons.,Locomotor Disabled Persons,Free Motorized Retrofitted Scooter / Tricycle,Locomotor disability 75% and above; Students or employed/self-employed persons aged 18 to 45,Disability Certificate / UDID; Income Certificate; Employment/Student ID; Driving License,Offline/District Office,Not Available,https://scd.tn.gov.in/,https://scd.tn.gov.in/schemes.php,Active,2026-07-30
TN-DA-002,Marriage Assistance to Differently Abled Persons,Welfare of Differently Abled Persons,Marriage Assistance,Financial grant and gold coin for marriage of differently abled individuals.,Differently Abled Bride or Groom,Financial assistance (₹25000/₹50000 depending on degree/diploma) + 8g Gold Coin,"Either or both spouses are differently abled (>40% disability); Minimum bride age 18, groom 21",Disability Certificate; Educational Certificates; Marriage Invitation; Aadhaar,Offline/District Office,Not Available,https://scd.tn.gov.in/,https://scd.tn.gov.in/schemes.php,Active,2026-07-30
TN-DA-003,Unemployment Allowance for Differently Abled,Welfare of Differently Abled Persons,Social Welfare / Employment,Monthly allowance for educated unemployed persons with disabilities.,Educated Unemployed Differently Abled,Monthly allowance ranging from ₹600 to ₹1000 based on educational qualification,Registered with Employment Exchange for > 1 year; Disability 40% or more; Unemployed,Employment Exchange Registration Card; Disability Certificate; Marksheets; Bank Passbook,District Employment Office,Not Available,https://scd.tn.gov.in/,https://scd.tn.gov.in/schemes.php,Active,2026-07-30
TN-DA-004,Maintenance Allowance for Severely Differently Abled Persons,Welfare of Differently Abled Persons,Social Security,"Monthly maintenance grant for persons with severe disabilities, intellectual disability, or muscular dystrophy.",Severely Disabled / Intellectually Impaired Persons,Monthly ₹2000 allowance direct bank transfer,Disability percentage 75% and above or Intellectual Disability / Muscular Dystrophy; Not receiving other pension,Medical Board Certificate / UDID Card; Bank Account Details; Aadhaar Card,District Welfare Office,Not Available,https://scd.tn.gov.in/,https://scd.tn.gov.in/schemes.php,Active,2026-07-30
TN-BC-001,Free Bicycle Scheme for BC / MBC / Minority Class 11 Students,"BC, MBC & Minorities Welfare",Education Welfare,Supply of free bicycles to Class 11 students in government and government-aided schools.,Class 11 Students,Free Bicycle,Students studying in Class 11 in Govt or Aided schools belonging to BC/MBC/DNT/Minority or General categories,School Enrollment Certificate,Institution Level,Not Applicable,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-BC-002,Ulema and Other Mosque Workers Pension Scheme,"BC, MBC & Minorities Welfare",Social Security,"Monthly pension for retired Ulemas, Peshimams, Muazzins, and Waqf workers in Tamil Nadu.",Retired Ulemas and Mosque Workers,Monthly ₹3000 pension,Age 60 and above; Served for minimum 20 years in registered Waqf institutions,Service Certificate from Waqf Inspector/Board; Age Certificate; Aadhaar Card; Bank Passbook,Offline/Waqf Board Office,Not Available,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-BC-003,Financial Assistance for Jerusalem Pilgrimage for Christians,"BC, MBC & Minorities Welfare",Religious Pilgrimage Assistance,Subsidy for Christian pilgrims undertaking Holy Land pilgrimage to Jerusalem.,Christian Pilgrims,Financial subsidy up to ₹60000 per pilgrim,Permanent resident of TN belonging to Christian community; First-time pilgrim,Community Certificate; Passport; Aadhaar Card; Income Certificate,Online/Offline,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-BC-004,"Post-Matric Scholarship for BC, MBC and DNT Students","BC, MBC & Minorities Welfare",Education / Scholarship,Scholarship and tuition fee reimbursement for post-matriculation studies for BC/MBC students.,"BC, MBC, DNT Post-Matric Students",Full tuition fee reimbursement and maintenance allowance,"Students of BC/MBC/DNT categories; Annual family income < ₹2,50,000",Community Certificate; Income Certificate; Marksheets; Bank Passbook,Online/Institution,https://tnadwscholarship.tn.gov.in/,https://bcmbcmw.tn.gov.in/,https://bcmbcmw.tn.gov.in/welfare_schemes.htm,Active,2026-07-30
TN-AD-001,Post-Matric Scholarship Scheme for SC / ST Students,Adi Dravidar & Tribal Welfare,Education / Scholarship,Full financial support and compulsory fee exemption for SC/ST students in higher education.,SC and ST College Students,"Full Tuition Fee Waiver, Hostel Fees, and Monthly Maintenance Allowance","SC/ST students pursuing post-matric courses; Annual family income < ₹2,50,000",SC/ST Community Certificate; Income Certificate; Marksheets; Bank Passbook; Aadhaar,Online,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,Active,2026-07-30
TN-AD-002,Chief Minister's Overseas Scholarship for SC / ST Students,Adi Dravidar & Tribal Welfare,Higher Education / International,Financial assistance for meritorious SC/ST students to pursue Master's or Ph.D. in foreign universities.,Meritorious SC / ST Graduates,"Financial grant up to ₹36 Lakhs covering tuition fees, living expense, and airfare",SC/ST student with admit letter from top ranked foreign university; Family income < ₹8 Lakhs/yr,Foreign University Admission Letter; Community Certificate; Income Certificate; Passport,Online,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,https://tnadwscholarship.tn.gov.in/,Active,2026-07-30
TN-AD-003,Annal Ambedkar Business Champions Scheme (AABCS),MSME / TAHDCO,Entrepreneurship Welfare,Capital subsidy and interest subvention scheme to promote first-generation SC/ST entrepreneurs.,SC / ST First Generation Entrepreneurs,35% Capital Subsidy (up to ₹1.5 Crore) + 6% Interest Subvention,"SC/ST entrepreneurs starting manufacturing, trading, or service enterprises in TN",Community Certificate; Project Report; Aadhaar Card; Bank Loan Approval Letter,Online,https://msmeonline.tn.gov.in/,https://tahdco.tn.gov.in/,https://msmeonline.tn.gov.in/,Active,2026-07-30
